360,"{'2020/6/1': [89, 773457, 89, 0, 0], '2020/6/2': [121, 1892372, 210, 0, 0], '2020/6/3': [106, 2905847, 316, 0, 0], '2020/6/4': [50, 3270492, 366, 0, 0], '2020/6/5': [138, 4521446, 504, 0, 0], '2020/6/6': [122, 5655982, 626, 0, 0], '2020/6/7': [122, 6663057, 748, 0, 0], '2020/6/8': [131, 7950628, 879, 0, 0], '2020/6/9': [111, 8938948, 990, 0, 0], '2020/6/10': [80, 9664417, 1070, 0, 0], '2020/6/11': [97, 10542932, 1167, 0, 0], '2020/6/12': [83, 11257712, 1250, 0, 0], '2020/6/13': [80, 12023272, 1330, 0, 0], '2020/6/14': [201, 13787962, 1531, 0, 0]}"
Appstore,"{'2020/6/1': [862, 10825153, 1196, 0, 0], '2020/6/2': [985, 15305843, 1689, 0, 0], '2020/6/3': [997, 19784924, 2187, 0, 0], '2020/6/4': [514, 22186211, 2444, 0, 0], '2020/6/5': [1048, 26861858, 2968, 0, 0], '2020/6/6': [1017, 31595637, 3477, 0, 0], '2020/6/7': [989, 36100726, 3971, 0, 0], '2020/6/8': [542, 38590316, 4242, 0, 0], '2020/6/9': [1264, 44402989, 4874, 0, 0], '2020/6/10': [1053, 49020689, 5401, 0, 0], '2020/6/11': [998, 53661300, 5900, 0, 0], '2020/6/12': [804, 57265853, 6302, 0, 0], '2020/6/13': [1109, 62395071, 6856, 0, 0], '2020/6/14': [1565, 69493851, 7639, 0, 0]}"
oppo,"{'2020/6/1': [479, 47763157, 5252, 0, 0], '2020/6/2': [416, 49037266, 5391, 0, 0], '2020/6/3': [470, 50470048, 5547, 0, 0], '2020/6/4': [231, 51145102, 5624, 0, 0], '2020/6/5': [463, 52551634, 5779, 0, 0], '2020/6/6': [426, 53833243, 5921, 0, 0], '2020/6/7': [507, 55444575, 6090, 0, 0], '2020/6/8': [198, 56034373, 6156, 0, 0], '2020/6/9': [500, 57519076, 6322, 0, 0], '2020/6/10': [333, 58459891, 6433, 0, 0], '2020/6/11': [375, 59552742, 6558, 0, 0], '2020/6/12': [415, 60738903, 6697, 0, 0], '2020/6/13': [384, 61892748, 6825, 0, 0], '2020/6/14': [743, 64180808, 7072, 0, 0]}"
xiaomi,"{'2020/6/1': [693, 49644216, 5477, 0, 0], '2020/6/2': [610, 50990663, 5630, 0, 0], '2020/6/3': [706, 52607032, 5806, 0, 0], '2020/6/4': [342, 53423301, 5892, 0, 0], '2020/6/5': [815, 55305212, 6096, 0, 0], '2020/6/6': [823, 57183249, 6301, 0, 0], '2020/6/7': [568, 58503651, 6443, 0, 0], '2020/6/8': [396, 59382476, 6542, 0, 0], '2020/6/9': [589, 60761024, 6690, 0, 0], '2020/6/10': [702, 62384252, 6865, 0, 0], '2020/6/11': [660, 63870951, 7030, 0, 0], '2020/6/12': [670, 65325243, 7198, 0, 0], '2020/6/13': [635, 66721512, 7356, 0, 0], '2020/6/14': [896, 68741405, 7580, 0, 0]}"
wandoujia,"{'2020/6/1': [279, 55493607, 6120, 0, 0], '2020/6/2': [247, 55942984, 6169, 0, 0], '2020/6/3': [183, 56276636, 6206, 0, 0], '2020/6/4': [159, 56546915, 6238, 0, 0], '2020/6/5': [178, 56852167, 6273, 0, 0], '2020/6/6': [195, 57230176, 6312, 0, 0], '2020/6/7': [218, 57605704, 6356, 0, 0], '2020/6/8': [120, 57825967, 6380, 0, 0], '2020/6/9': [177, 58157573, 6415, 0, 0], '2020/6/10': [254, 58663568, 6466, 0, 0], '2020/6/11': [253, 59082550, 6517, 0, 0], '2020/6/12': [201, 59439431, 6557, 0, 0], '2020/6/13': [191, 59773467, 6595, 0, 0], '2020/6/14': [376, 60471833, 6670, 0, 0]}"
web,"{'2020/6/1': [244, 50781933, 5599, 0, 0], '2020/6/2': [303, 51254244, 5650, 0, 0], '2020/6/3': [211, 51570788, 5685, 0, 0], '2020/6/4': [101, 51726027, 5702, 0, 0], '2020/6/5': [172, 51992746, 5730, 0, 0], '2020/6/6': [176, 52235372, 5760, 0, 0], '2020/6/7': [205, 52532204, 5794, 0, 0], '2020/6/8': [128, 52730493, 5815, 0, 0], '2020/6/9': [193, 53027905, 5847, 0, 0], '2020/6/10': [256, 53398024, 5890, 0, 0], '2020/6/11': [215, 53717678, 5926, 0, 0], '2020/6/12': [216, 54027525, 5962, 0, 0], '2020/6/13': [310, 54505285, 6014, 0, 0], '2020/6/14': [307, 54955237, 6065, 0, 0]}"
vivo,"{'2020/6/1': [126, 47264570, 5216, 0, 0], '2020/6/2': [109, 47401548, 5232, 0, 0], '2020/6/3': [197, 47650798, 5260, 0, 0], '2020/6/4': [120, 47810906, 5277, 0, 0], '2020/6/5': [65, 47905345, 5286, 0, 0], '2020/6/6': [118, 48046325, 5303, 0, 0], '2020/6/7': [176, 48294265, 5328, 0, 0], '2020/6/8': [104, 48437591, 5343, 0, 0], '2020/6/9': [84, 48546625, 5355, 0, 0], '2020/6/10': [123, 48712278, 5373, 0, 0], '2020/6/11': [111, 48846651, 5389, 0, 0], '2020/6/12': [86, 48952887, 5401, 0, 0], '2020/6/13': [147, 49148213, 5422, 0, 0], '2020/6/14': [180, 49381889, 5448, 0, 0]}"
huawei,"{'2020/6/1': [142, 43364631, 4784, 0, 0], '2020/6/2': [99, 43480567, 4797, 0, 0], '2020/6/3': [147, 43654858, 4815, 0, 0], '2020/6/4': [38, 43697190, 4820, 0, 0], '2020/6/5': [88, 43795709, 4831, 0, 0], '2020/6/6': [138, 43952522, 4848, 0, 0], '2020/6/7': [155, 44128701, 4868, 0, 0], '2020/6/8': [47, 44183154, 4873, 0, 0], '2020/6/9': [95, 44291559, 4885, 0, 0], '2020/6/10': [100, 44396717, 4898, 0, 0], '2020/6/11': [196, 44617036, 4922, 0, 0], '2020/6/12': [71, 44694656, 4931, 0, 0], '2020/6/13': [87, 44805509, 4942, 0, 0], '2020/6/14': [206, 45064720, 4968, 0, 0]}"
